dataset,part,budget,usage,source tokens,source documents,source length,sample tokens,sample documents,sample length,token reduction,document reduction ,release tokens,release documents,release length,token reduction,document reduction
fineopus-filtered-0.4,eng_Latn-ces_Latn,27450000,4.004,6855841,524474,13.1,,,,,,10463584,13087,799.5,1.526,0.025
fineopus-filtered-0.4,eng_Latn-dan_Latn,60300000,1.000,60307753,2236116,27.0,,,,,,76630099,55360,1384.2,1.271,0.025
fineopus-filtered-0.4,eng_Latn-deu_Latn,928050000,3.992,232472718,4233525,54.9,,,,,,261130072,105641,2471.9,1.123,0.025
fineopus-filtered-0.4,eng_Latn-ekk_Latn,640050000,0.241,2650981506,57729950,45.9,,,,,,778292200,362164,2149.0,0.294,0.006
fineopus-filtered-0.4,eng_Latn-ell_Grek,13050000,3.989,3271187,134635,24.3,,,,,,5121755,3358,1525.2,1.566,0.025
fineopus-filtered-0.4,eng_Latn-est_Latn,48900000,0.241,202757638,8739800,23.2,,,,,,70433564,54608,1289.8,0.347,0.006
fineopus-filtered-0.4,eng_Latn-eus_Latn,286950000,1.000,287089897,9999104,28.7,,,,,,365530148,249617,1464.4,1.273,0.025
fineopus-filtered-0.4,eng_Latn-fin_Latn,1366050000,0.200,6831536686,168147457,40.6,,,,,,2120678838,1095739,1935.4,0.310,0.007
fineopus-filtered-0.4,eng_Latn-fra_Latn,21827250000,0.504,43329820372,790084931,54.8,,,,,,31551219945,12793966,2466.1,0.728,0.016
fineopus-filtered-0.4,eng_Latn-gle_Latn,68250000,0.070,974783726,23919291,40.8,,,,,,250608762,131414,1907.0,0.257,0.005
fineopus-filtered-0.4,eng_Latn-glg_Latn,289800000,0.600,482889265,14705303,32.8,,,,,,375982759,230969,1627.8,0.779,0.016
fineopus-filtered-0.4,eng_Latn-hrv_Latn,1071000000,0.300,3573555303,93759873,38.1,,,,,,1168035008,636258,1835.8,0.327,0.007
fineopus-filtered-0.4,eng_Latn-hun_Latn,1453200000,0.280,5194560454,136459945,38.1,,,,,,3734502918,2033698,1836.3,0.719,0.015
fineopus-filtered-0.4,eng_Latn-isl_Latn,441450000,0.520,848562574,20995403,40.4,,,,,,454878247,231079,1968.5,0.536,0.011
fineopus-filtered-0.4,eng_Latn-ita_Latn,7725900000,0.459,16846566799,369353797,45.6,,,,,,10717750935,5112114,2096.5,0.636,0.014
fineopus-filtered-0.4,eng_Latn-lav_Latn,19950000,0.271,73545068,3277994,22.4,,,,,,17691394,14284,1238.5,0.241,0.004
fineopus-filtered-0.4,eng_Latn-lit_Latn,834000000,0.300,2783343755,57815663,48.1,,,,,,712550071,318271,2238.8,0.256,0.006
fineopus-filtered-0.4,eng_Latn-ltg_Latn,2250000,0.521,4320096,174227,24.8,,,,,,5848616,4343,1346.7,1.354,0.025
fineopus-filtered-0.4,eng_Latn-lvs_Latn,59700000,0.019,3084939256,44589196,69.2,,,,,,582202970,186561,3120.7,0.189,0.004
fineopus-filtered-0.4,eng_Latn-mkd_Cyrl,443850000,0.550,806579558,19490124,41.4,,,,,,422313203,214423,1969.5,0.524,0.011
fineopus-filtered-0.4,eng_Latn-mlt_Latn,121950000,0.100,1219307171,20850547,58.5,,,,,,260657802,98256,2652.8,0.214,0.005
fineopus-filtered-0.4,eng_Latn-nld_Latn,4830900000,0.379,12746054549,314481673,40.5,,,,,,6225536795,3287222,1893.9,0.488,0.010
fineopus-filtered-0.4,eng_Latn-nno_Latn,151200000,1.399,108112949,3472734,31.1,,,,,,145370944,86526,1680.1,1.345,0.025
fineopus-filtered-0.4,eng_Latn-nob_Latn,1443150000,0.320,4511594830,106337270,42.4,,,,,,1629296491,779290,2090.7,0.361,0.007
fineopus-filtered-0.4,eng_Latn-pol_Latn,6051750000,0.787,7685075140,205374433,37.4,,,,,,8069239475,4560343,1769.4,1.050,0.022
fineopus-filtered-0.4,eng_Latn-por_Latn,8554650000,0.489,17484212845,391202913,44.7,,,,,,12483020637,5937094,2102.5,0.714,0.015
fineopus-filtered-0.4,eng_Latn-ron_Latn,1815000000,0.300,6050675962,156733165,38.6,,,,,,3355061738,1804866,1858.9,0.554,0.012
fineopus-filtered-0.4,eng_Latn-slk_Latn,1185000000,0.300,3947514348,91228672,43.3,,,,,,1608948237,786988,2044.4,0.408,0.009
