dataset,part,budget,usage,source tokens,source documents,source length,sample tokens,sample documents,sample length,token reduction,document reduction ,release tokens,release documents,release length,token reduction,document reduction
finewiki-0.0.0,nor_Latn,40500000,0.102,398860889,620802,642.5,398567315,620484,642.3,0.999,0.999,389511037,617252,631.0,0.977,0.994
finewiki-0.0.0,pol_Latn,1146300000,1.051,1092666737,1543918,707.7,1090280414,1543073,706.6,0.998,0.999,1082790687,1541178,702.6,0.991,0.998
finewiki-0.0.0,por_Latn,1624350000,1.355,1199721969,1135383,1056.7,1198836897,1134794,1056.4,0.999,0.999,1195751924,1134003,1054.5,0.997,0.999
finewiki-0.0.0,ron_Latn,502500000,1.357,370759796,493462,751.3,370280414,492898,751.2,0.999,0.999,366778404,492064,745.4,0.989,0.997
finewiki-0.0.0,slk_Latn,504000000,3.328,152006508,220317,689.9,151427867,220226,687.6,0.996,1.000,147033316,218441,673.1,0.967,0.991
finewiki-0.0.0,slv_Latn,438150000,2.815,155832504,176157,884.6,155649223,176041,884.2,0.999,0.999,152595410,174916,872.4,0.979,0.993
finewiki-0.0.0,spa_Latn,4689450000,1.946,2410980646,1948965,1237.1,2409553257,1948148,1236.8,0.999,1.000,2396584607,1945167,1232.1,0.994,0.998
finewiki-0.0.0,sqi_Latn,279750000,2.898,96747290,112681,858.6,96539131,111673,864.5,0.998,0.991,95883439,111583,859.3,0.991,0.990
finewiki-0.0.0,srp_Cyrl,319350000,0.269,1188656713,664345,1789.2,1188089069,663013,1792.0,1.000,0.998,1183301944,661580,1788.6,0.995,0.996
finewiki-0.0.0,swe_Latn,543900000,0.832,653840368,2470063,264.7,653492286,2469606,264.6,0.999,1.000,650175359,2467524,263.5,0.994,0.999
finewiki-0.0.0,tur_Latn,765750000,1.637,468411082,629762,743.8,467877029,629361,743.4,0.999,0.999,463097019,628180,737.2,0.989,0.997
finewiki-0.0.0,ukr_Cyrl,505950000,0.389,1300802696,1239253,1049.7,1299603384,1238753,1049.1,0.999,1.000,1296024771,1237768,1047.1,0.996,0.999
hplt-4.0,clean/als_Latn,15551400001,0.754,11196323363,12179805,919.3,20618149061,20351508,1013.1,1.842,1.671,20610508059,20350952,1012.8,1.841,1.671
hplt-4.0,clean/bos_Latn,11701950000,1.104,7222710918,10323906,699.6,10604003610,14043748,755.1,1.468,1.360,10602668202,14043397,755.0,1.468,1.360
hplt-4.0,clean/bul_Cyrl,33069000001,0.442,47156839713,46593078,1012.1,74901351453,58067960,1289.9,1.588,1.246,74876616830,58063120,1289.6,1.588,1.246
hplt-4.0,clean/cat_Latn,31153800000,0.777,21258609252,27614886,769.8,40105372226,47124190,851.1,1.887,1.706,39992916357,47094077,849.2,1.881,1.705
hplt-4.0,clean/ces_Latn,45426450000,0.443,97860267851,117324028,834.1,102589278928,97300787,1054.4,1.048,0.829,102567903659,97295457,1054.2,1.048,0.829
hplt-4.0,clean/dan_Latn,30921150000,0.420,53652868101,57754683,929.0,73657011921,64602265,1140.2,1.373,1.119,73634357438,64596612,1139.9,1.372,1.118
hplt-4.0,clean/deu_Latn,252435000000,0.983,934582601352,1053883717,886.8,256723634024,239700457,1071.0,0.275,0.227,256640405625,239686877,1070.7,0.275,0.227
hplt-4.0,clean/ekk_Latn,17814300000,0.450,17699715774,15024995,1178.0,39622561379,26762238,1480.5,2.239,1.781,39605885068,26758148,1480.1,2.238,1.781
hplt-4.0,clean/ell_Grek,35051100001,0.332,102689593671,91479404,1122.5,105524614907,75744934,1393.2,1.028,0.828,105458169279,75735387,1392.5,1.027,0.828
hplt-4.0,clean/eng_Latn/ab,39093045000,0.997,122539987872,140646354,871.3,39228477366,29850893,1314.1,0.320,0.212,39093044609,29833057,1310.4,0.319,0.212
hplt-4.0,clean/eng_Latn/ccc,954587029500,2.727,954587029955,1034352553,922.9,350080839934,257277060,1360.7,0.367,0.249,349101702759,257138413,1357.6,0.366,0.249
hplt-4.0,clean/eng_Latn/ia,175250439000,0.995,659177310619,732246250,900.2,176052217202,137959795,1276.1,0.267,0.188,175250438825,137856594,1271.3,0.266,0.188
hplt-4.0,clean/eus_Latn,7145250000,2.588,2766802337,3556988,777.8,2760476734,3552749,777.0,0.998,0.999,2750140759,3551018,774.5,0.994,0.998
hplt-4.0,clean/fin_Latn,28718250000,0.386,57706038376,51435563,1121.9,74322589370,55011910,1351.0,1.288,1.070,74303636285,55007740,1350.8,1.288,1.069
hplt-4.0,clean/fra_Latn,248999850001,0.837,974451524823,914929291,1065.1,297602573670,220401013,1350.3,0.305,0.241,297395536881,220382167,1349.5,0.305,0.241
hplt-4.0,clean/gle_Latn,1878300000,1.983,1000064218,885117,1129.9,947051789,851447,1112.3,0.947,0.962,946547763,851325,1111.9,0.946,0.962
hplt-4.0,clean/glg_Latn,6243600000,2.079,3010418083,4102297,733.8,3002818291,4096224,733.1,0.997,0.999,2944251818,4063111,724.6,0.978,0.990
hplt-4.0,clean/hrv_Latn,27000300000,0.738,19393837284,17447507,1111.6,36567124073,26143284,1398.7,1.886,1.498,36558770449,26141289,1398.5,1.885,1.498
hplt-4.0,clean/hun_Latn,33337800000,0.303,92766016105,80685036,1149.7,109883797544,76445077,1437.4,1.185,0.947,109847516849,76438359,1437.1,1.184,0.947
hplt-4.0,clean/isl_Latn,10010250000,1.279,4298513807,4546258,945.5,7823699893,7743629,1010.3,1.820,1.703,7818210551,7741922,1009.9,1.819,1.703
hplt-4.0,clean/ita_Latn,88371000000,0.626,290292176536,384192861,755.6,141258261931,156744663,901.2,0.487,0.408,141212985314,156737392,901.0,0.486,0.408
hplt-4.0,clean/lit_Latn,26463000000,0.551,23934780270,21946435,1090.6,48017607004,36573330,1312.9,2.006,1.666,48001483095,36568800,1312.6,2.006,1.666
hplt-4.0,clean/ltg_Latn,35550000,1.868,19106799,14111,1354.0,19032658,14011,1358.4,0.996,0.993,19032934,14011,1358.4,0.996,0.993
hplt-4.0,clean/lvs_Latn,22121400000,0.538,19456302361,12157413,1600.4,41103516770,21127108,1945.5,2.113,1.738,41077953513,21122285,1944.8,2.111,1.737
hplt-4.0,clean/mkd_Cyrl,9463350000,1.065,5194078041,7424445,699.6,8886720631,11960451,743.0,1.711,1.611,8882064297,11959801,742.7,1.710,1.611
hplt-4.0,clean/mlt_Latn,2253450000,2.340,970459347,854014,1136.4,962987740,849165,1134.0,0.992,0.994,962892735,849158,1133.9,0.992,0.994
hplt-4.0,clean/nld_Latn,55324200000,0.438,170546788814,214553429,794.9,126281917724,131003630,964.0,0.740,0.611,126258661015,130998086,963.8,0.740,0.611
hplt-4.0,clean/nno_Latn,1871250000,1.529,1226222836,1478988,829.1,1223629689,1477546,828.1,0.998,0.999,1222472617,1477308,827.5,0.997,0.999
hplt-4.0,clean/nob_Latn,29675400001,0.666,34569056183,37000822,934.3,44547630586,37127055,1199.9,1.289,1.003,44472656226,37111637,1198.3,1.286,1.003
hplt-4.0,clean/pol_Latn,68908650000,0.502,232252106309,276726699,839.3,137213783054,135303756,1014.1,0.591,0.489,137192069297,135299537,1014.0,0.591,0.489
hplt-4.0,clean/por_Latn,97305000000,0.629,329046295379,367761984,894.7,154795713622,139214700,1111.9,0.470,0.379,154666654138,139200770,1111.1,0.470,0.379
hplt-4.0,clean/ron_Latn,22713000000,0.258,88109689628,101192506,870.7,87944711998,83128718,1057.9,0.998,0.821,87929480414,83124531,1057.8,0.998,0.821
hplt-4.0,clean/slk_Latn,27548700000,0.547,34872828830,39490021,883.1,50392148786,49725953,1013.4,1.445,1.259,50374893961,49721013,1013.2,1.445,1.259
hplt-4.0,clean/slv_Latn,24637650000,0.652,18057210632,18234487,990.3,37770831201,31363563,1204.3,2.092,1.720,37759022575,31360152,1204.0,2.091,1.720
hplt-4.0,clean/spa_Latn,281250000000,0.844,1067551121362,1117429998,955.4,333338842220,272745778,1222.2,0.312,0.244,332901673058,272616223,1221.1,0.312,0.244
hplt-4.0,clean/srp_Cyrl,12510900000,0.652,9443346139,7566167,1248.1,19184896242,12628921,1519.1,2.032,1.669,19168145245,12625316,1518.2,2.030,1.669
hplt-4.0,clean/srp_Latn,1104000000,0.652,1031609180,1340747,769.4,1692975292,2145895,788.9,1.641,1.601,1692255103,2145851,788.6,1.640,1.600
hplt-4.0,clean/swe_Latn,32697000000,0.377,98222963393,106942233,918.5,86775408808,83258987,1042.2,0.883,0.779,86768565174,83256286,1042.2,0.883,0.779
hplt-4.0,clean/tur_Latn,46164900001,0.386,156494515621,172888172,905.2,119455041337,110582126,1080.2,0.763,0.640,119416992452,110573739,1080.0,0.763,0.640
hplt-4.0,clean/ukr_Cyrl,29778300001,0.252,85081462437,92929623,915.5,118200751843,94290636,1253.6,1.389,1.015,118099901548,94281215,1252.6,1.388,1.015
hplt-4.0,noisy/als_Latn,1231650000,0.754,1636855502,3792703,431.6,1632939579,4677087,349.1,0.998,1.233,1632969281,4677087,349.1,0.998,1.233
hplt-4.0,noisy/bos_Latn,1962000001,1.104,6103411205,11674543,522.8,1777928451,5930980,299.8,0.291,0.508,1777981322,5930980,299.8,0.291,0.508
hplt-4.0,noisy/bul_Cyrl,1391250000,0.441,5635433753,20266745,278.1,3154880098,14563059,216.6,0.560,0.719,3154968722,14563059,216.6,0.560,0.719
hplt-4.0,noisy/cat_Latn,2983500000,0.777,4524903506,11904084,380.1,3839755642,13184853,291.2,0.849,1.108,3839950799,13184853,291.2,0.849,1.108
hplt-4.0,noisy/dan_Latn,2043750000,0.420,17012922573,29657187,573.7,4866117372,14252928,341.4,0.286,0.481,4866140117,14252928,341.4,0.286,0.481
hplt-4.0,noisy/ekk_Latn,1450200000,0.450,3350441384,8142153,411.5,3225573126,9399321,343.2,0.963,1.154,3225695532,9399321,343.2,0.963,1.154
hplt-4.0,noisy/eus_Latn,904350000,2.588,556917085,2113297,263.5,349396990,1746855,200.0,0.627,0.827,349424476,1746855,200.0,0.627,0.827
hplt-4.0,noisy/fin_Latn,1405650000,0.386,18065484445,28315891,638.0,3637917924,13932268,261.1,0.201,0.492,3638241679,13932268,261.1,0.201,0.492
hplt-4.0,noisy/gle_Latn,209400000,1.983,184594945,520878,354.4,105615119,381180,277.1,0.572,0.732,105618694,381180,277.1,0.572,0.732
hplt-4.0,noisy/glg_Latn,828300000,2.079,639526193,2765924,231.2,398380194,2157279,184.7,0.623,0.780,398422895,2157279,184.7,0.623,0.780
hplt-4.0,noisy/hrv_Latn,1613850000,0.738,9066755732,15588869,581.6,2185735676,7071739,309.1,0.241,0.454,2185808233,7071739,309.1,0.241,0.454
hplt-4.0,noisy/isl_Latn,969900000,1.279,860412091,2253892,381.7,758046673,2617049,289.7,0.881,1.161,758081659,2617049,289.7,0.881,1.161
hplt-4.0,noisy/lit_Latn,1605000000,0.551,3288930440,10061157,326.9,2912216396,10709299,271.9,0.885,1.064,2912539303,10709299,272.0,0.886,1.064
hplt-4.0,noisy/ltg_Latn,7200000,1.864,5267241,11386,462.6,3861933,9608,401.9,0.733,0.844,3861993,9608,402.0,0.733,0.844
hplt-4.0,noisy/lvs_Latn,1499250000,0.538,3175561651,5558997,571.2,2785856351,6137336,453.9,0.877,1.104,2785969025,6137336,453.9,0.877,1.104
hplt-4.0,noisy/mkd_Cyrl,636450000,1.065,622248347,2909283,213.9,597672698,3464155,172.5,0.961,1.191,597693570,3464155,172.5,0.961,1.191
hplt-4.0,noisy/mlt_Latn,301500000,2.362,196226606,452047,434.1,127653747,311464,409.9,0.651,0.689,127657920,311464,409.9,0.651,0.689
hplt-4.0,noisy/nno_Latn,560400000,1.529,735937363,2251188,326.9,366464848,1474079,248.6,0.498,0.655,366487972,1474079,248.6,0.498,0.655
hplt-4.0,noisy/nob_Latn,2469150000,0.666,47710551241,27866457,1712.1,3706081852,8759722,423.1,0.078,0.314,3706165597,8759722,423.1,0.078,0.314
hplt-4.0,noisy/ron_Latn,7414050000,0.258,33146198439,41305636,802.5,28706553317,13174942,2178.9,0.866,0.319,28706848399,13174942,2178.9,0.866,0.319
hplt-4.0,noisy/slk_Latn,2693700000,0.547,9383868167,20617110,455.1,4927196895,14343577,343.5,0.525,0.696,4927449916,14343577,343.5,0.525,0.696
hplt-4.0,noisy/slv_Latn,1624800000,0.652,3563075199,8042404,443.0,2490956786,9173611,271.5,0.699,1.141,2491067389,9173611,271.5,0.699,1.141
hplt-4.0,noisy/srp_Cyrl,3313650000,3.511,1174511377,3098308,379.1,943773022,3389527,278.4,0.804,1.094,943793490,3389527,278.4,0.804,1.094
hplt-4.0,noisy/srp_Latn,415350000,0.055,10556875225,16310068,647.3,7531339631,13089935,575.4,0.713,0.803,7531595014,13089935,575.4,0.713,0.803
hplt-4.0,noisy/ukr_Cyrl,643800000,0.252,10456431166,33467466,312.4,2554764967,12510412,204.2,0.244,0.374,2554796722,12510412,204.2,0.244,0.374
megamath-0.0.0,,1272197377500,4.000,318049344118,204140616,1558.0,,,,,,318049344118,204140616,1558.0,1.000,1.000
mixture-vitae-1.0,,1720274503500,4.000,430068626193,332580002,1293.1,,,,,,428221225133,331820115,1290.5,0.996,0.998
nemotron-cc-1.0,high/actual,555553431001,0.997,565924264266,746497814,758.1,557408394715,722119101,771.9,0.985,0.967,555553430471,721716752,769.8,0.982,0.967
nemotron-cc-1.0,medium-high/actual,154639533000,0.300,515465110905,558672867,922.7,515465110905,558672867,922.7,1.000,1.000,514382601499,558485724,921.0,0.998,1.000
nemotron-cc-opus-1.1,bos_Latn,4325850000,0.044,98924620356,156431999,632.4,,,,,,4456233641,7042337,632.8,0.045,0.045
nemotron-cc-opus-1.1,bul_Cyrl,10110000000,0.035,290025674270,316020674,917.7,,,,,,8706326304,9484242,918.0,0.030,0.030
nemotron-cc-opus-1.1,cat_Latn,10196550000,0.082,124353668852,156431999,794.9,,,,,,5595116886,7037215,795.1,0.045,0.045
nemotron-cc-opus-1.1,ces_Latn,13339650000,0.060,222757438780,316020674,704.9,,,,,,23386527867,33186555,704.7,0.105,0.105
nemotron-cc-opus-1.1,ell_Grek,10253250000,0.066,154930307068,156431999,990.4,,,,,,16263223599,16421747,990.3,0.105,0.105
nemotron-cc-opus-1.1,est_Latn,6100950000,0.023,267380655295,316020674,846.1,,,,,,4004408182,4741941,844.5,0.015,0.015
nemotron-cc-opus-1.1,eus_Latn,2549100000,0.025,102052460721,156431999,652.4,,,,,,3059732306,4691066,652.2,0.030,0.030
nemotron-cc-opus-1.1,gle_Latn,612450000,0.002,296758394210,316020674,939.0,,,,,,4457362065,4742798,939.8,0.015,0.015
nemotron-cc-opus-1.1,glg_Latn,2239500000,0.020,109875137469,156431999,702.4,,,,,,1648886419,2346726,702.6,0.015,0.015
nemotron-cc-opus-1.1,hrv_Latn,9061200000,0.084,108210878830,156431999,691.7,,,,,,6493209429,9385437,691.8,0.060,0.060
nemotron-cc-opus-1.1,lav_Latn,7479900001,0.044,170792299748,156431999,1091.8,,,,,,5127521777,4695497,1092.0,0.030,0.030
nemotron-cc-opus-1.1,lit_Latn,8888250000,0.077,114912176393,156431999,734.6,,,,,,3451444388,4696756,734.9,0.030,0.030
nemotron-cc-opus-1.1,mkd_Cyrl,3198300000,0.025,125518960998,156431999,802.4,,,,,,3763587558,4692801,802.0,0.030,0.030
nemotron-cc-opus-1.1,mlt_Latn,816000000,0.006,134951009011,156431999,862.7,,,,,,2026151245,2347035,863.3,0.015,0.015
nemotron-cc-opus-1.1,slk_Latn,9576750000,0.085,113218597419,156431999,723.8,,,,,,8485334760,11726985,723.6,0.075,0.075
nemotron-cc-opus-1.1,slv_Latn,8316450000,0.074,112583053500,156431999,719.7,,,,,,5066230969,7039834,719.7,0.045,0.045
nemotron-cc-opus-1.1,sqi_Latn,5314650000,0.031,174219266179,156431999,1113.7,,,,,,5228750636,4694595,1113.8,0.030,0.030
nemotron-cc-opus-1.1,srp_Cyrl,6061500000,0.046,130924280324,156431999,836.9,,,,,,5887906113,7036009,836.8,0.045,0.045
nemotron-cc-opus-1.1,tur_Latn,14563200000,0.053,274833282698,316020674,869.7,,,,,,24744339128,28448642,869.8,0.090,0.090
nemotron-cc-tower+-0.1,parallel/tower72b/deu_Latn,81081000000,0.990,81859660544,140359346,583.2,,,,,,81862392294,140359346,583.2,1.000,1.000
nemotron-cc-tower+-0.1,parallel/tower72b/fin_Latn,9535200000,0.102,93248682940,140359346,664.4,,,,,,11191169599,16842536,664.5,0.120,0.120
nemotron-cc-tower+-0.1,parallel/tower72b/ita_Latn,27972450000,0.340,82285655894,140359346,586.2,,,,,,48138978965,82104753,586.3,0.585,0.585
nemotron-cc-tower+-0.1,parallel/tower72b/spa_Latn,89124450000,0.973,91611305219,140359346,652.7,,,,,,91613580863,140359346,652.7,1.000,1.000
nemotron-cc-tower+-0.1,parallel/tower72b/swe_Latn,10334250000,0.115,89681716339,140359346,638.9,,,,,,16145458996,25263187,639.1,0.180,0.180
nemotron-cc-tower+-0.1,parallel/tower9b/dan_Latn,9716850000,0.111,87700534458,140359346,624.8,,,,,,10528824911,16847405,625.0,0.120,0.120
nemotron-cc-tower+-0.1,parallel/tower9b/fra_Latn,78850500000,0.770,102377460080,140359346,729.4,,,,,,102378408709,140359346,729.4,1.000,1.000
nemotron-cc-tower+-0.1,parallel/tower9b/hun_Latn,10573050000,0.106,99853552237,140359346,711.4,,,,,,16466325980,23154477,711.2,0.165,0.165
nemotron-cc-tower+-0.1,parallel/tower9b/isl_Latn,3471900000,0.036,97348571405,140359346,693.6,,,,,,2918880998,4210129,693.3,0.030,0.030
nemotron-cc-tower+-0.1,parallel/tower9b/nld_Latn,17493900000,0.187,93648923682,140359346,667.2,,,,,,28102446272,42117190,667.2,0.300,0.300
nemotron-cc-tower+-0.1,parallel/tower9b/nno_Latn,756900000,0.008,90132244358,140359346,642.2,,,,,,1351790582,2105773,641.9,0.015,0.015
nemotron-cc-tower+-0.1,parallel/tower9b/nob_Latn,10185000000,0.121,84161194674,140359346,599.6,,,,,,7570286471,12631719,599.3,0.090,0.090
nemotron-cc-tower+-0.1,parallel/tower9b/pol_Latn,21825150000,0.260,83828958663,140359346,597.2,,,,,,36464775808,61049963,597.3,0.435,0.435
nemotron-cc-tower+-0.1,parallel/tower9b/por_Latn,30859650001,0.342,90185273844,140359346,642.5,,,,,,55466124892,86320468,642.6,0.615,0.615
nemotron-cc-tower+-0.1,parallel/tower9b/ron_Latn,9540150000,0.095,100047217252,140359346,712.8,,,,,,15007503843,21051112,712.9,0.150,0.150
nemotron-cc-tower+-0.1,parallel/tower9b/ukr_Cyrl,9619650000,0.094,102496405840,140359346,730.2,,,,,,15386810182,21063787,730.5,0.150,0.150
nemotron-mind-0.0,,132299121000,1.000,132299120775,231590130,571.3,,,,,,,,,,
nemotron-pretraining-specialized-1.0,,683704312500,2.300,297262744790,60655840,4900.8,,,,,,296831955126,60570162,4900.6,0.999,0.999
nemotron-pretraining-specialized-1.1,,41046166500,4.000,10261541500,19772096,519.0,,,,,,10204366232,19630062,519.8,0.994,0.993
openwebmath-0.0.0,data,55174603500,4.000,13793650775,6315233,2184.2,,,,,,13793650775,6315233,2184.2,1.000,1.000
starcoder-0.0.0,,251955595500,0.910,276861687159,206642239,1339.8,,,,,,251955595123,188045983,1339.9,0.910,0.910
swallow-code-2.0,stage5-auto-format/python/medium,50172253500,0.800,62716070265,28705016,2184.8,,,,,,50172253076,22963268,2184.9,0.800,0.800
swallow-math-2.0,,140167488000,4.000,35041872140,25938075,1351.0,,,,,,35041872140,25938075,1351.0,1.000,1.000
